date,open,high,low,close,volume
2022-06-14,1506075.3197115385,1585383.0985576923,1482385.983173077,1526417.25,311
2022-06-15,1470798.839550241,1556543.9399651971,1368316.7075227557,1442732.125,261
2022-06-16,1575598.408018513,1762280.6838500903,1571736.0161047562,1710782.125,344
2022-06-17,1699967.5949641932,1809144.550472345,1650786.466421606,1689925.375,289
2022-06-21,1586928.4165077126,1587443.4022018577,1476721.47796069,1552424.375,143
2022-06-22,1630701.8757625623,1643319.0227564618,1535429.5413188313,1603922.625,211
2022-06-23,1575340.8636184933,1712842.011243906,1569161.0367589244,1637396.625,200
2022-06-24,1556544.0984553362,1570706.2035694872,1420072.9037189707,1421102.875,205
2022-06-27,1378873.8239222968,1462558.9766346677,1366256.677821047,1421617.625,183
2022-06-28,1405395.6614146833,1540579.3774723434,1353639.6101240362,1536202.0,240
2022-06-29,1596197.8400156617,1698937.4654659359,1592077.9552858262,1644091.5,249
2022-06-30,1712326.9828368365,1784424.9610615454,1609587.3638666263,1702799.75,285
2022-07-01,1802449.363425926,1953855.1099537038,1763825.4484953706,1891026.875,289
2022-07-05,2038313.0036959553,2067924.6756799163,1844678.4182008367,1846223.375,217
2022-07-06,1843133.3309804199,1899781.7429412599,1750950.915153235,1814809.125,152
2022-07-07,1684260.1927347975,1690182.5263891164,1545471.5910096704,1570963.375,257
2022-07-08,1642031.5783799535,1656708.667915418,1517920.0493256743,1546501.75,288
2022-07-11,1621174.7911814936,1687607.9385964912,1597485.4517931999,1658511.25,236
2022-07-12,1620916.9447269598,1680140.280276952,1587185.3927397905,1645636.25,210
2022-07-13,1747860.9020140665,1756615.6560901534,1575340.7481617648,1610874.75,251
2022-07-14,1626582.1362725878,1698937.6183515172,1491140.913591033,1510452.875,277
2022-07-15,1443504.4085601324,1516374.8594382126,1398443.1756849946,1400245.625,195
2022-07-18,1336902.4807901413,1444791.9529494382,1302913.434668358,1420845.125,309
2022-07-19,1351064.6452321205,1363424.2989335007,1205838.7142409035,1231330.5,423
2022-07-20,1235193.0639243391,1256822.460916135,1117261.3517547857,1129878.5,509
2022-07-21,1116746.355274136,1166442.4693087009,1077349.9539928485,1080182.375,513
2022-07-22,1091769.6036315323,1188844.4009355623,1088422.196827945,1162837.625,627
2022-07-25,1187042.0821568202,1240085.6112076456,1178802.3106537794,1185497.125,428
2022-07-26,1206868.5573142977,1254504.7175667288,1187299.1076970825,1244462.5,399
2022-07-27,1175712.177755053,1185496.904595765,1038726.0019850818,1070140.125,472
2022-07-28,1064732.6802884615,1132453.2836538462,1023276.3413461539,1031001.125,461
2022-07-29,1073487.4299673745,1086104.5765417092,997784.5505213664,1006281.8125,455
2022-08-01,1028168.6820104624,1047738.1335087832,967400.3852525187,996754.5625,471
2022-08-02,1027396.2728207764,1042330.8552327076,954010.8247621496,1001389.5,450
2022-08-03,998814.5969441333,1003964.4530768692,911009.5498809858,919506.8125,405
2022-08-04,923884.0803622772,933153.8202990225,889122.5555994825,895559.875,402
2022-08-05,943196.1063639551,957873.1956521738,896074.9249649368,917961.8125,568
